iter	Passed	Remaining
0	155	155254
1	156	78132
2	158	52561
3	159	39702
4	160	31934
5	161	26787
6	162	23080
7	163	20277
8	164	18085
9	165	16350
10	166	14925
11	167	13753
12	167	12752
13	168	11899
14	169	11156
15	171	10519
16	172	9959
17	173	9452
18	174	8996
19	175	8584
20	176	8211
21	177	7869
22	177	7553
23	178	7264
24	179	7000
25	180	6753
26	181	6526
27	181	6316
28	182	6121
29	183	5933
30	184	5756
31	184	5593
32	185	5438
33	186	5310
34	187	5179
35	188	5060
36	193	5024
37	194	4924
38	195	4820
39	197	4730
40	198	4638
41	208	4750
42	210	4686
43	212	4626
44	214	4541
45	215	4460
46	219	4455
47	223	4430
48	226	4394
49	227	4330
50	228	4260
51	229	4188
52	232	4154
53	234	4099
54	234	4035
55	235	3971
56	236	3915
57	238	3865
58	239	3826
59	241	3782
60	243	3743
61	245	3720
62	247	3677
63	248	3629
64	249	3591
65	250	3548
66	251	3503
67	252	3457
68	253	3415
69	253	3373
70	254	3331
71	255	3290
72	256	3251
73	256	3212
74	257	3174
75	258	3138
76	258	3102
77	259	3071
78	260	3040
79	261	3007
80	262	2974
81	263	2949
82	263	2916
83	264	2889
84	266	2863
85	266	2835
86	267	2808
87	268	2781
88	269	2755
89	269	2728
90	270	2703
91	271	2678
92	272	2653
93	272	2629
94	274	2611
95	275	2594
96	276	2572
97	277	2553
98	278	2535
99	279	2516
100	280	2498
101	281	2479
102	282	2461
103	283	2443
104	284	2426
105	285	2409
106	286	2391
107	287	2372
108	288	2354
109	289	2345
110	290	2329
111	291	2313
112	294	2309
113	295	2296
114	296	2281
115	297	2265
116	297	2247
117	298	2233
118	299	2217
119	300	2202
120	301	2187
121	301	2171
122	302	2157
123	304	2148
124	305	2140
125	307	2129
126	308	2117
127	309	2105
128	310	2093
129	311	2081
130	311	2068
131	312	2055
132	313	2042
133	314	2030
134	314	2017
135	315	2005
136	316	1993
137	317	1981
138	318	1973
139	321	1971
140	322	1963
141	323	1952
142	324	1942
143	325	1933
144	326	1922
145	326	1911
146	327	1900
147	328	1890
148	329	1879
149	329	1869
150	330	1859
151	331	1849
152	332	1838
153	333	1831
154	335	1827
155	336	1818
156	337	1813
157	338	1805
158	339	1796
159	340	1787
160	341	1777
161	341	1767
162	342	1758
163	343	1749
164	343	1740
165	344	1731
166	345	1722
167	346	1714
168	346	1705
169	348	1702
170	349	1695
171	350	1688
172	352	1683
173	353	1677
174	354	1670
175	355	1663
176	356	1655
177	356	1648
178	357	1640
179	358	1632
180	359	1625
181	360	1618
182	360	1611
183	361	1603
184	364	1604
185	365	1598
186	366	1592
187	367	1587
188	368	1581
189	369	1575
190	370	1568
191	371	1561
192	371	1554
193	372	1548
194	373	1541
195	374	1534
196	374	1528
197	375	1521
198	376	1514
199	377	1508
200	380	1510
201	380	1504
202	382	1500
203	383	1496
204	384	1491
205	385	1486
206	386	1480
207	387	1474
208	388	1468
209	388	1462
210	389	1456
211	390	1450
212	391	1445
213	392	1440
214	394	1440
215	395	1436
216	396	1432
217	397	1427
218	398	1422
219	399	1417
220	400	1412
221	401	1406
222	402	1401
223	403	1396
224	403	1391
225	404	1386
226	405	1380
227	406	1375
228	407	1371
229	409	1370
230	410	1366
231	411	1362
232	412	1357
233	413	1352
234	413	1346
235	414	1342
236	415	1337
237	416	1332
238	417	1327
239	417	1322
240	418	1317
241	419	1312
242	419	1307
243	420	1302
244	421	1297
245	421	1292
246	424	1294
247	425	1291
248	426	1286
249	427	1282
250	428	1277
251	428	1272
252	429	1267
253	430	1263
254	430	1258
255	431	1254
256	432	1249
257	432	1245
258	433	1240
259	434	1236
260	435	1231
